#TYPE Selected.Microsoft.Management.Infrastructure.CimInstance
"ResourceId","InDesiredState"
"[AccountPolicy]1.1.2 - (L1) Ensure Maximum password age is set to 60 or fewer days but not 0::[CIS_Microsoft_Windows_Server_2016_Member_Server_Release_1607]CIS Benchmarks","False"
"[AccountPolicy]1.2.2 - (L1) Ensure Account lockout threshold is set to 10 or fewer invalid logon attempt(s) but not 0::[CIS_Microsoft_Windows_Server_2016_Member_Server_Release_1607]CIS Benchmarks","False"
"[UserRightsAssignment]2.2.21 - (L1) Ensure Deny access to this computer from the network to include Guests Local account and member of Administrators group (MS only)::[CIS_Microsoft_Windows_Server_2016_Member_Server_Release_1607]CIS Benchmarks","False"
"[UserRightsAssignment]2.2.26 - (L1) Ensure Deny log on through Remote Desktop Services is set to Guests Local account (MS only)::[CIS_Microsoft_Windows_Server_2016_Member_Server_Release_1607]CIS Benchmarks","False"
"[SecurityOption]2.3.1.5 - (L1) Configure Accounts Rename administrator account::[CIS_Microsoft_Windows_Server_2016_Member_Server_Release_1607]CIS Benchmarks","False"
"[SecurityOption]2.3.1.6 - (L1) Configure Accounts Rename guest account::[CIS_Microsoft_Windows_Server_2016_Member_Server_Release_1607]CIS Benchmarks","False"
"[Registry]2.3.7.2 - (L1) Ensure Interactive logon Do not require CTRLALTDEL is set to Disabled::[CIS_Microsoft_Windows_Server_2016_Member_Server_Release_1607]CIS Benchmarks","False"
"[Registry]2.3.7.4 - (L1) Configure Interactive logon Message text for users attempting to log on::[CIS_Microsoft_Windows_Server_2016_Member_Server_Release_1607]CIS Benchmarks","False"
"[Registry]2.3.7.5 - (L1) Configure Interactive logon Message title for users attempting to log on::[CIS_Microsoft_Windows_Server_2016_Member_Server_Release_1607]CIS Benchmarks","False"
"[Registry]2.3.10.7 - (L1) Configure Network access Named Pipes that can be accessed anonymously (MS only)::[CIS_Microsoft_Windows_Server_2016_Member_Server_Release_1607]CIS Benchmarks","False"
"[Registry]9.3.5 - (L1) Ensure Windows Firewall Public Settings Apply local firewall rules is set to No::[CIS_Microsoft_Windows_Server_2016_Member_Server_Release_1607]CIS Benchmarks","False"
"[Registry]9.3.6 - (L1) Ensure Windows Firewall Public Settings Apply local connection security rules is set to No::[CIS_Microsoft_Windows_Server_2016_Member_Server_Release_1607]CIS Benchmarks","False"
"[Registry]18.4.9 - (L1) Ensure MSS (ScreenSaverGracePeriod) The time in seconds before the screen saver grace period expires (0 recommended) is set to Enabled 5 or fewer seconds::[CIS_Microsoft_Windows_Server_2016_Member_Server_Release_1607]CIS Benchmarks","False"
"[Registry]18.9.102.1.2 - (L1) Ensure Select when Preview Builds and Feature Updates are received is set to Enabled Semi-Annual Channel 180 or more days (2)::[CIS_Microsoft_Windows_Server_2016_Member_Server_Release_1607]CIS Benchmarks","False"
"[Registry]18.9.102.1.2 - (L1) Ensure Select when Preview Builds and Feature Updates are received is set to Enabled Semi-Annual Channel 180 or more days (4)::[CIS_Microsoft_Windows_Server_2016_Member_Server_Release_1607]CIS Benchmarks","False"
"[Registry]18.9.102.1.3 - (L1) Ensure Select when Quality Updates are received is set to Enabled 0 days (3)::[CIS_Microsoft_Windows_Server_2016_Member_Server_Release_1607]CIS Benchmarks","False"
